UF;MUNICIPIO;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
PI;SAO JOAO DO ARRAIAL;271;0;20;0;107;9;0;1;6;653;92;13;0;0;1;0;0;0;0;6;0
PI;SAO JOAO DO PIAUI;1729;0;181;7;698;80;0;5;49;3976;701;30;0;19;15;0;0;0;0;0;21
PI;SAO JOSE DO DIVINO;240;0;36;6;79;5;0;3;5;689;71;6;0;5;12;0;0;0;2;0;0
PI;SAO JOSE DO PEIXE;119;0;11;0;52;5;0;0;1;277;24;4;0;2;0;0;0;0;1;0;0
PI;SAO JOSE DO PIAUI;406;0;47;18;252;32;0;0;13;738;251;15;0;2;23;0;0;0;0;0;2
PI;SAO JULIAO;403;0;53;15;127;6;0;0;13;677;59;5;0;21;20;0;0;0;1;0;2
PI;SAO LOURENCO DO PIAUI;293;0;10;0;96;3;0;0;5;467;49;7;0;0;0;0;0;0;0;0;0
PI;SAO LUIS DO PIAUI;189;0;13;0;98;5;0;0;3;476;35;3;0;0;0;0;0;0;1;0;0
PI;SAO MIGUEL DA BAIXA GRANDE;93;0;12;0;47;2;0;0;3;314;61;4;0;4;0;0;0;0;2;0;1
PI;SAO MIGUEL DO FIDALGO;71;0;9;0;50;3;0;0;6;237;10;4;0;2;0;0;0;0;1;0;0
PI;SAO MIGUEL DO TAPUIO;406;0;61;0;369;27;0;0;7;1773;194;25;0;6;0;0;0;0;0;0;8
PI;SAO PEDRO DO PIAUI;653;0;57;1;212;30;0;7;5;2539;220;12;0;11;1;0;0;0;0;2;7
PI;SAO RAIMUNDO NONATO;5274;0;1149;69;2236;244;0;3;276;9332;1574;198;0;70;75;0;0;0;1;2;104
PI;SEBASTIAO BARROS;88;0;12;0;44;1;0;0;3;245;58;3;0;5;0;0;1;0;0;0;0
PI;SEBASTIAO LEAL;249;0;56;23;114;3;0;1;2;604;175;5;0;11;43;0;0;0;1;2;1
PI;SIGEFREDO PACHECO;370;0;55;1;156;19;0;4;15;1063;118;14;0;7;1;0;0;0;0;0;2
PI;SIMOES;816;0;160;14;376;50;0;0;32;1454;151;24;0;22;18;0;0;0;0;0;8
PI;SIMPLICIO MENDES;1114;0;99;13;455;69;0;4;19;2021;377;14;0;21;24;0;0;0;0;11;7
PI;SOCORRO DO PIAUI;146;0;13;0;88;10;0;1;9;288;36;5;0;0;0;0;0;0;1;0;2
PI;SUSSUAPARA;613;0;60;2;229;18;0;3;23;1429;423;13;0;13;1;0;0;0;0;2;10
PI;TAMBORIL DO PIAUI;89;0;6;0;39;7;0;0;10;133;13;2;0;0;0;0;0;0;1;0;0
PI;TANQUE DO PIAUI;136;0;12;0;47;4;0;1;6;314;62;4;0;3;1;0;0;0;1;0;0
PI;TERESINA;225078;0;12601;1311;41415;11914;19;5156;1273;191287;28464;4318;0;4436;2020;128;43;0;15;612;7164
PI;UNIAO;2177;0;214;6;582;77;0;23;59;7897;1084;110;0;110;7;0;0;0;1;6;17
PI;URUCUI;1570;0;270;227;912;87;0;1;21;5914;1893;36;0;124;463;0;1;0;0;7;45
PI;VALENCA DO PIAUI;2287;0;223;20;786;88;0;49;43;4332;1294;31;0;39;30;0;0;0;0;7;44
PI;VARZEA BRANCA;199;0;36;0;118;6;0;0;15;398;15;31;0;2;0;0;0;0;0;0;0
PI;VARZEA GRANDE;158;0;19;0;82;10;0;0;6;451;167;4;0;1;0;0;0;0;0;0;3
