UF;MUNICIPIO;TIPO DE VEICULO;QUANTIDADE
MG;CORREGO DO BOM JESUS;QUADRICICLO;0
MG;CORREGO FUNDO;QUADRICICLO;0
MG;CORREGO NOVO;QUADRICICLO;0
MG;COUTO DE MAGALHAES DE MINAS;QUADRICICLO;0
MG;CRISOLITA;QUADRICICLO;0
MG;CRISTAIS;QUADRICICLO;0
MG;CRISTALIA;QUADRICICLO;0
MG;CRISTIANO OTONI;QUADRICICLO;0
MG;CRISTINA;QUADRICICLO;0
MG;CRUCILANDIA;QUADRICICLO;0
MG;CRUZEIRO DA FORTALEZA;QUADRICICLO;0
MG;CRUZILIA;QUADRICICLO;0
MG;CUPARAQUE;QUADRICICLO;0
MG;CURRAL DE DENTRO;QUADRICICLO;0
MG;CURVELO;QUADRICICLO;0
MG;DATAS;QUADRICICLO;0
MG;DELFIM MOREIRA;QUADRICICLO;0
MG;DELFINOPOLIS;QUADRICICLO;0
MG;DELTA;QUADRICICLO;0
MG;DESCOBERTO;QUADRICICLO;0
MG;DESTERRO DE ENTRE RIOS;QUADRICICLO;0
MG;DESTERRO DO MELO;QUADRICICLO;0
MG;DIAMANTINA;QUADRICICLO;0
MG;DIOGO DE VASCONCELOS;QUADRICICLO;0
MG;DIONISIO;QUADRICICLO;0
MG;DIVINESIA;QUADRICICLO;0
MG;DIVINO;QUADRICICLO;0
MG;DIVINO DAS LARANJEIRAS;QUADRICICLO;0
MG;DIVINOLANDIA DE MINAS;QUADRICICLO;0
MG;DIVISA ALEGRE;QUADRICICLO;0
MG;DIVISA NOVA;QUADRICICLO;0
MG;DIVISOPOLIS;QUADRICICLO;0
MG;DOM BOSCO;QUADRICICLO;0
MG;DOM CAVATI;QUADRICICLO;0
MG;DOM JOAQUIM;QUADRICICLO;0
MG;DOM SILVERIO;QUADRICICLO;0
MG;DOM VICOSO;QUADRICICLO;0
MG;DONA EUZEBIA;QUADRICICLO;0
MG;DORES DE CAMPOS;QUADRICICLO;0
MG;DORES DE GUANHAES;QUADRICICLO;0
MG;DORES DO INDAIA;QUADRICICLO;0
MG;DORES DO TURVO;QUADRICICLO;0
MG;DORESOPOLIS;QUADRICICLO;0
MG;DOURADOQUARA;QUADRICICLO;0
MG;DURANDE;QUADRICICLO;0
MG;ELOI MENDES;QUADRICICLO;0
MG;ENGENHEIRO CALDAS;QUADRICICLO;0
MG;ENGENHEIRO NAVARRO;QUADRICICLO;0
MG;ENTRE FOLHAS;QUADRICICLO;0
MG;ENTRE RIOS DE MINAS;QUADRICICLO;0
MG;ERVALIA;QUADRICICLO;0
MG;ESMERALDAS;QUADRICICLO;0
MG;ESPERA FELIZ;QUADRICICLO;0
MG;ESPINOSA;QUADRICICLO;0
MG;ESPIRITO SANTO DO DOURADO;QUADRICICLO;0
MG;ESTIVA;QUADRICICLO;0
MG;ESTRELA DALVA;QUADRICICLO;0
MG;ESTRELA DO INDAIA;QUADRICICLO;0
MG;ESTRELA DO SUL;QUADRICICLO;0
MG;EUGENOPOLIS;QUADRICICLO;0
MG;EWBANK DA CAMARA;QUADRICICLO;0
MG;EXTREMA;QUADRICICLO;0
MG;FAMA;QUADRICICLO;0
MG;FARIA LEMOS;QUADRICICLO;0
MG;FELICIO DOS SANTOS;QUADRICICLO;0
MG;FELISBURGO;QUADRICICLO;0
MG;FELIXLANDIA;QUADRICICLO;0
MG;FERNANDES TOURINHO;QUADRICICLO;0
MG;FERROS;QUADRICICLO;0
MG;FERVEDOURO;QUADRICICLO;0
MG;FLORESTAL;QUADRICICLO;0
MG;FORMIGA;QUADRICICLO;0
MG;FORMOSO;QUADRICICLO;0
MG;FORTALEZA DE MINAS;QUADRICICLO;0
MG;FORTUNA DE MINAS;QUADRICICLO;0
MG;FRANCISCO BADARO;QUADRICICLO;0
MG;FRANCISCO DUMONT;QUADRICICLO;0
MG;FRANCISCO SA;QUADRICICLO;0
MG;FRANCISCOPOLIS;QUADRICICLO;0
MG;FREI GASPAR;QUADRICICLO;0
MG;FREI INOCENCIO;QUADRICICLO;0
MG;FREI LAGONEGRO;QUADRICICLO;0
MG;FRONTEIRA;QUADRICICLO;0
MG;FRONTEIRA DOS VALES;QUADRICICLO;0
MG;FRUTA DE LEITE;QUADRICICLO;0
MG;FRUTAL;QUADRICICLO;0
MG;FUNILANDIA;QUADRICICLO;0
MG;GALILEIA;QUADRICICLO;0
MG;GAMELEIRAS;QUADRICICLO;0
MG;GLAUCILANDIA;QUADRICICLO;0
MG;GOIABEIRA;QUADRICICLO;0
MG;GOIANA;QUADRICICLO;0
MG;GONCALVES;QUADRICICLO;0
MG;GONZAGA;QUADRICICLO;0
MG;GOUVEA;QUADRICICLO;0
MG;GRAO MOGOL;QUADRICICLO;0
MG;GRUPIARA;QUADRICICLO;0
MG;GUANHAES;QUADRICICLO;0
MG;GUAPE;QUADRICICLO;0
